line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
56,pyr_066,019,Concert,18360914,Luzern,BRb.27.2,"Stockhausen, Franz","Mozart, Wolfgang Amadeus",
57,pyr_067,,,,,,"Stockhausen, Margarethe","Bellini, Vincenzo",
58,pyr_068,,,,,,,"Stockhausen, Franz",
59,,,,,,,,"Lafont, Charles Philippe",
60,,,,,,,,"Herz, Henri",
61,,,,,,,,"Rossini, Gioachino",
62,,,,,,,,"Beethoven, Ludwig van",
63,pyr_070,020,Concert,18391114,"Luzern, Theater",BRb.27.2,Geissler,"Mozart, Wolfgang Amadeus",
64,,,,,,,Eggers (Mme),,
65,,,,,,,Nicolini,,
66,,,,,,,Pichon,,
67,,,,,,,Lemi (Mlle),,
68,,,,,,,Uber,,
69,,,,,,,Uber (Mme),,
70,,,,,,,Rubin,,
71,,,,,,,Korres,,
72,,,,,,,"Opern- und Schauspielgesellschaft, Bern",,
73,pyr_071,021,Concert,18391119,"Luzern, Theater",BRb.27.2,Geissler,"Bellini, Vincenzo",
74,,,,,,,Nicolini,,
75,,,,,,,Eggers (Mme),,
76,,,,,,,Lemi (Mlle),,
77,,,,,,,Stölzel,,
78,,,,,,,Steinert (Mlle),,
79,,,,,,,"Schneider, Albert",,
80,,,,,,,"Schneider, Eduard",,
81,,,,,,,"Opern- und Schauspielgesellschaft, Bern",,
82,pyr_072,022,Concert,18391126,"Luzern, Theater",BRb.27.2,Geissler,"Bellini, Vincenzo",
83,,,,,,,Lemi (Mlle),,
84,,,,,,,Eggers (Mme),,
85,,,,,,,Pichon,,
86,,,,,,,Stolte,,
87,pyr_073,023,Concert,18391201,"Luzern, Theater",BRb.27.2,Rubin,"Weber, Carl Maria von",
88,,,,,,,Pichon,,
89,,,,,,,Eggers (Mme),,
90,,,,,,,Uber (Mme),,
91,,,,,,,Geissler,,
92,,,,,,,Stolte,,
93,,,,,,,Korres,,
94,,,,,,,Schneider,,
95,pyr_074,024,Concert,18391205,"Luzern, Theater",BRb.27.2,Korres,"Meyerbeer, Giacomo",
96,,,,,,,Lemi (Mlle),,
97,,,,,,,Schneider,,
98,,,,,,,Nicolini,,
99,,,,,,,Geissler,,
100,,,,,,,Stölzel,,
101,,,,,,,Eggers (Mme),,
102,,,,,,,Pichon,,
103,,,,,,,Unger,,
104,pyr_075,025,Concert,18391212,"Luzern, Theater",BRb.27.2,Schneider,"Beethoven, Ludwig van",
105,,,,,,,Stolte,,
106,,,,,,,Korres,,
107,,,,,,,Rubin,,
108,,,,,,,Nicolini,,
109,,,,,,,Deutsch,,
110,,,,,,,Bamberger,,
111,,,,,,,Schneider (Mme),,
112,,,,,,,Steinert (Mlle),,
113,,,,,,,Pichon,,
114,,,,,,,Geissler,,
115,,,,,,,Unger,,
116,,,,,,,Schmotys,,
117,,,,,,,Hallein,,
118,,,,,,,Stölzel,,
119,,,,,,,Gürtler,,
120,,,,,,,Uber,,
121,,,,,,,Unger (Mme),,
122,,,,,,,Knott (Mme),,
123,,,,,,,Eggers (Mlle),,
124,,,,,,,Müller,,
125,,,,,,,Fischer,,
126,pyr_076,026,Concert,18391213,"Luzern, Theater",BRb.27.2,Nicolini,"Auber, Daniel-François-Esprit",
127,,,,,,,Schneider (Mme),,
128,,,,,,,Eggers (Mme),,
129,,,,,,,Pichon,,
130,,,,,,,Korres,,
131,,,,,,,Rubin,,
132,,,,,,,Uber,,
133,pyr_077,027,Concert,18391217,"Luzern, Theater",BRb.27.2,Stolte,"Auber, Daniel-François-Esprit",
134,,,,,,,Uber,,
135,,,,,,,Uber (Mme),,
136,,,,,,,Nicolini,,
137,,,,,,,Pichon,,
138,,,,,,,Eggers (Mme),,
139,,,,,,,Geissler,,
140,,,,,,,Unger,,
141,,,,,,,Hallein,,
142,pyr_078,028,Concert,18391220,"Luzern, Theater",BRb.27.2,Nicolini,"Cherubini, Luigi",
143,,,,,,,Eggers (Mme),,
144,,,,,,,Geissler,,
145,,,,,,,Korres,,
